TRAMO_ID,CODIGO_ESTACION,NOMBRE_ESTACION,NUCLEO_CERCANIAS,TRAMO_HORARIO,VIAJEROS_SUBIDOS,VIAJEROS_BAJADOS
GUADALHORCE_0630_0700,54503,GUADALHORCE,MÁLAGA,06:30 - 07:00,13,13.0
GUADALHORCE_0700_0730,54503,GUADALHORCE,MÁLAGA,07:00 - 07:30,2,13.0
GUADALHORCE_0730_0800,54503,GUADALHORCE,MÁLAGA,07:30 - 08:00,3,18.0
GUADALHORCE_0800_0830,54503,GUADALHORCE,MÁLAGA,08:00 - 08:30,4,29.0
GUADALHORCE_0830_0900,54503,GUADALHORCE,MÁLAGA,08:30 - 09:00,20,56.0
GUADALHORCE_0900_0930,54503,GUADALHORCE,MÁLAGA,09:00 - 09:30,11,41.0
GUADALHORCE_0930_1000,54503,GUADALHORCE,MÁLAGA,09:30 - 10:00,7,38.0
GUADALHORCE_1000_1030,54503,GUADALHORCE,MÁLAGA,10:00 - 10:30,2,14.0
GUADALHORCE_1030_1100,54503,GUADALHORCE,MÁLAGA,10:30 - 11:00,12,18.0
GUADALHORCE_1100_1130,54503,GUADALHORCE,MÁLAGA,11:00 - 11:30,7,11.0
GUADALHORCE_1130_1200,54503,GUADALHORCE,MÁLAGA,11:30 - 12:00,12,23.0
GUADALHORCE_1200_1230,54503,GUADALHORCE,MÁLAGA,12:00 - 12:30,10,23.0
GUADALHORCE_1230_1300,54503,GUADALHORCE,MÁLAGA,12:30 - 13:00,24,31.0
GUADALHORCE_1300_1330,54503,GUADALHORCE,MÁLAGA,13:00 - 13:30,17,4.0
GUADALHORCE_1330_1400,54503,GUADALHORCE,MÁLAGA,13:30 - 14:00,11,8.0
GUADALHORCE_1400_1430,54503,GUADALHORCE,MÁLAGA,14:00 - 14:30,24,2.0
GUADALHORCE_1430_1500,54503,GUADALHORCE,MÁLAGA,14:30 - 15:00,16,16.0
GUADALHORCE_1500_1530,54503,GUADALHORCE,MÁLAGA,15:00 - 15:30,9,5.0
GUADALHORCE_1530_1600,54503,GUADALHORCE,MÁLAGA,15:30 - 16:00,13,12.0
